"Story ID","Area","Persona","Feature","User Story","Expected Behavior","Code Evidence","Automated Evidence","Coverage","Execution Status","Defect IDs","Observed Errors","Fix Evidence","Retest Status","Last Verified"
"AUTH-001","Authentication","Visitor","Role-aware entry","As a visitor, I want the root URL to send me to the correct entry point so I do not land on an irrelevant screen.","An unauthenticated request resolves to sign-in; an active Educator resolves to assigned children; an active Admin resolves to pilot access.","app/page.tsx; lib/help-review/server-navigation.ts","tests/e2e/user-story-behaviors.spec.ts - root entry resolves by authentication and role","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-002","Authentication","Educator","Educator sign-in","As a provisioned Educator, I want to establish a session so I can reach my assigned work.","Selecting an active Educator profile creates a signed HTTP-only session and navigates to assigned children or a validated return path.","app/sign-in/page.tsx; app/api/session/route.ts; lib/help-review/server-auth.ts","tests/e2e/platform-smoke.spec.ts - educator navigation and review decision editing work","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-003","Authentication","Administrator","Admin sign-in","As a provisioned Admin, I want to establish an Admin session so I can manage access and failed jobs.","Selecting the active Admin profile creates a session and navigates to pilot access with Admin-only navigation.","app/sign-in/page.tsx; app/api/session/route.ts; components/app-header.tsx","tests/e2e/platform-smoke.spec.ts - administrator can inspect access and jobs without overflow","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-004","Authentication","Staff","Safe sign-in failure","As staff, I want a failed sign-in to explain that access could not be confirmed without exposing account details.","A rejected or interrupted sign-in retains no secret, restores available controls, and shows the same non-enumerating error.","app/sign-in/page.tsx; app/api/session/route.ts","tests/e2e/screen-catalog.spec.ts - screen-10 auth-access-unavailable","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-005","Authentication","Staff","Session projection","As signed-in staff, I want the application to identify my current role without exposing protected identity-provider data.","GET session returns only the public user projection; missing, forged, expired, or deactivated sessions return 401.","app/api/session/route.ts; lib/help-review/public-projections.ts; lib/help-review/server-auth.ts","tests/e2e/workflow-contracts.spec.ts - health and public errors contain no protected runtime configuration; lib/help-review/server-auth.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-006","Authentication","Staff","Sign out","As signed-in staff, I want to sign out so the current browser session can no longer access protected records.","Sign out clears the session cookie, replaces the current route with sign-in, and subsequent protected requests fail.","components/app-header.tsx; app/api/session/route.ts","tests/e2e/user-story-behaviors.spec.ts - support is actionable and sign-out clears the session","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-007","Authentication","Staff","Session expiry recovery","As staff whose session ended, I want to sign in again and safely resume my authorized route.","The expiry page explains that saved work remains, preserves only a safe local return path, and routes through sign-in.","app/session-expired/page.tsx; lib/help-review/return-path.ts","tests/e2e/accessibility.spec.ts - sign-in reflows; tests/e2e/screen-catalog.spec.ts - screen-11 session-expired","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-008","Authentication","Staff","Safe return target","As staff, I want post-login navigation to preserve only application-local routes so an attacker cannot redirect me externally.","Approved relative paths and route-specific query parameters survive; external, malformed, and protected query data fall back to the role home.","app/sign-in/page.tsx; lib/help-review/return-path.ts","tests/e2e/workflow-contracts.spec.ts - signed sessions origins roles and return paths fail closed; lib/help-review/return-path.test.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-009","Authentication","Staff","Provision enforcement","As an administrator, I want deactivation to take effect on the next request so removed staff cannot continue using an old session.","Every session check also requires an active provision; deactivation causes the next request to return 401.","lib/help-review/server-auth.ts; lib/help-review/admin-access-service.ts","tests/e2e/workflow-contracts.spec.ts - assignment revocation and access deactivation take effect on the next request","EXISTING","PASS","","","","PASS","2026-07-15"
"AUTH-010","Authentication","Staff","Generic unavailable response","As a user without access, I should not learn whether a protected child, assessment, video, or final record exists.","Missing and unauthorized protected resources use the same 404/public unavailable presentation and retain the internal reason only in redacted support records.","app/unavailable/page.tsx; lib/help-review/server-http.ts; lib/help-review/server-workflow.ts","tests/e2e/screen-catalog.spec.ts - screen-15 resource-unavailable; tests/e2e/workflow-contracts.spec.ts - assignment revocation","EXISTING","PASS","","","","PASS","2026-07-15"
"SHELL-001","Application shell","Staff","Role-specific navigation","As staff, I want navigation that contains only commands relevant to my role.","Educators see Children and Assessments; Admins see Access and Jobs; hidden links do not replace server authorization.","components/app-header.tsx","tests/e2e/platform-smoke.spec.ts; tests/e2e/workflow-contracts.spec.ts - Admin access and processing support commands are scoped","EXISTING","PASS","","","","PASS","2026-07-15"
"SHELL-002","Application shell","Staff","Current navigation state","As staff, I want the current section visibly identified so I can orient myself.","The active primary navigation link is visually distinct and exposes aria-current page.","components/app-header.tsx","tests/e2e/user-story-behaviors.spec.ts - current navigation is announced and sandbox boundary persists","EXISTING","PASS","A11Y-001","Active navigation initially omitted aria-current.","Added aria-current=page to the active Educator and Admin primary links.","PASS","2026-07-15"
"SHELL-003","Application shell","Staff","Support contact","As staff, I want a support entry point when I cannot resolve access or processing problems.","The header and relevant empty/error states expose the configured organization-owned pilot-support mail action without record data; when no valid recipient is configured, the UI shows non-linked guidance instead of a broken mail action.","components/app-header.tsx; app/children/page.tsx; components/assessment-intake.tsx; lib/help-review/support-contact.ts","tests/e2e/user-story-behaviors.spec.ts; lib/help-review/support-contact.test.ts; lib/help-review/runtime-config.test.ts","EXISTING","PASS","UX-001; UX-005","Initial execution found a reserved recipient; the later manual keyboard pass found that an unset recipient still produced a recipient-free mailto link.","Centralized validation now returns no mail action for an unset, malformed, or reserved recipient; all surfaces suppress the link while keeping plain guidance, production requires an organization-owned address, and browser tests use a valid synthetic recipient.","PASS","2026-07-15"
"SHELL-004","Application shell","Staff","Sanitized boundary banner","As a development user, I want a persistent indication that the environment contains sanitized pilot data.","The sanitized environment banner remains visible across application routes and does not overlap navigation or content.","components/app-header.tsx; app/layout.tsx","tests/e2e/user-story-behaviors.spec.ts; tests/e2e/screen-catalog.spec.ts","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-001","Assigned children","Educator","Assignment-scoped list","As an Educator, I want to see only children currently assigned to me.","The list API and UI return active assigned children only, ordered deterministically, with minimum approved child context.","app/children/page.tsx; app/api/children/route.ts; lib/help-review/child-service.ts","tests/e2e/workflow-contracts.spec.ts - child history search filters and stale next actions stay assignment-scoped","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-002","Assigned children","Educator","List loading state","As an Educator, I want clear feedback while assignments are loading.","The page announces that active assignments are being checked and does not show stale rows or enabled row actions.","app/children/page.tsx; components/page-state.tsx","tests/e2e/user-story-behaviors.spec.ts - child loading and recovery never expose stale assignments","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-003","Assigned children","Educator","Child search","As an Educator with several assignments, I want to filter the list by child identifier.","Search is case-insensitive, updates visible rows without changing access scope, and preserves the original list when cleared.","app/children/page.tsx","tests/e2e/user-story-behaviors.spec.ts - assigned-child search filters locally and explains no matches","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-004","Assigned children","Educator","No search matches","As an Educator, I want a useful state when no assigned child matches my search.","The page distinguishes no search results from no assignments and suggests changing the identifier.","app/children/page.tsx","tests/e2e/user-story-behaviors.spec.ts - assigned-child search filters locally and explains no matches","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-005","Assigned children","Educator","No assignments","As an Educator without assignments, I want to understand why the list is empty and what to do next.","The empty state shows no child data, explains administrator assignment, and offers refresh.","app/children/page.tsx","tests/e2e/screen-catalog.spec.ts - screen-12 assigned-children-empty","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-006","Assigned children","Educator","List load recovery","As an Educator, I want to retry a temporary assignment-list failure or sign out.","The failure state discloses no records, offers retry and sign-out, and replaces itself with authoritative data after recovery.","app/children/page.tsx","tests/e2e/user-story-behaviors.spec.ts - child loading and recovery never expose stale assignments; screen-13","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-007","Assigned children","Educator","Latest assessment next action","As an Educator, I want each child row to take me to the authoritative next step for the latest assessment.","Rows show current status/date and route to upload, processing, review, summary, or final according to server-derived state.","app/children/page.tsx; lib/help-review/presentation.ts; lib/help-review/child-service.ts","tests/e2e/workflow-contracts.spec.ts - child history search filters and stale next actions stay assignment-scoped","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-008","Child detail","Educator","Assigned child detail","As an Educator, I want to inspect an assigned child's approved context and assessment history.","The page shows identifier, age, optional context, processing-permission warning, and only that child's authorized assessments.","app/children/[childId]/page.tsx; app/api/children/[childId]/route.ts","tests/e2e/screen-catalog.spec.ts - screen-14 child-detail-history-v2; workflow assignment-scoped test","EXISTING","PASS","","","","PASS","2026-07-15"
"CHILD-009","Child detail","Educator","Child detail recovery","As an Educator, I want loading and retry behavior when a child detail request is interrupted.","The page announces loading, shows a safe failure without stale data, and retries the same authorized child.","app/children/[childId]/page.tsx","tests/e2e/user-story-behaviors.spec.ts - failed child detail load retries without stale content","EXISTING","PASS","","","","PASS","2026-07-15"
